[1m[32m ######################## <world> [0m
[1m[32m ######################## 	<preamble> [0m
[1m[32m ######################## 		<states>2400</states> [0m
[1m[32m ######################## 		<sound> unchecked </sound> [0m
[1m[32m ######################## 		<actions> 7</actions> [0m
[1m[32m ######################## 	</preamble> [0m
[1m[32m ######################## </world> [0m

episode 0 = 0.000000
episode 1 = -95.500000
episode 2 = -84.700000
episode 3 = -92.800000
episode 4 = -92.800000
episode 5 = -82.900000
episode 6 = -55.000000
episode 7 = -76.600000
episode 8 = -65.800000
episode 9 = -55.900000
episode 10 = -58.600000
episode 11 = -55.900000
episode 12 = -58.600000
episode 13 = -89.200000
episode 14 = -78.400000
episode 15 = -94.600000
episode 16 = -46.900000
episode 17 = -85.600000
episode 18 = -94.600000
episode 19 = -77.500000
episode 20 = -46.000000
episode 21 = -93.700000
episode 22 = -83.800000
episode 23 = -64.900000
episode 24 = -61.300000
episode 25 = -94.600000
episode 26 = -89.200000
episode 27 = -28.900000
episode 28 = -80.200000
episode 29 = -89.200000
episode 30 = -15.400000
episode 31 = -81.100000
episode 32 = -51.400000
episode 33 = -87.400000
episode 34 = -46.900000
episode 35 = -59.500000
episode 36 = -81.100000
episode 37 = -14.500000
episode 38 = -20.800000
episode 39 = -38.800000
episode 40 = -28.000000
episode 41 = -99.100000
episode 42 = -23.500000
episode 43 = -16.300000
episode 44 = -92.800000
episode 45 = -61.300000
episode 46 = -49.600000
episode 47 = -80.200000
episode 48 = -54.100000
episode 49 = -62.200000
episode 50 = -71.200000
episode 51 = -78.400000
episode 52 = -58.600000
episode 53 = -68.500000
episode 54 = -94.600000
episode 55 = -47.800000
episode 56 = -64.000000
episode 57 = -14.500000
episode 58 = -95.500000
episode 59 = -82.000000
episode 60 = -55.000000
episode 61 = -81.100000
episode 62 = -50.500000
episode 63 = -84.700000
episode 64 = -15.400000
episode 65 = -76.600000
episode 66 = -42.400000
episode 67 = -17.200000
episode 68 = -93.700000
episode 69 = -47.800000
episode 70 = -16.300000
episode 71 = -18.100000
episode 72 = -78.400000
episode 73 = -13.600000
episode 74 = -19.900000
episode 75 = -61.300000
episode 76 = -54.100000
episode 77 = -55.000000
episode 78 = -17.200000
episode 79 = -18.100000
episode 80 = -71.200000
episode 81 = -14.500000
episode 82 = -18.100000
episode 83 = -27.100000
episode 84 = -19.000000
episode 85 = -20.800000
episode 86 = -16.300000
episode 87 = -13.600000
episode 88 = -80.200000
episode 89 = -24.400000
episode 90 = -47.800000
episode 91 = -17.200000
episode 92 = -18.100000
episode 93 = -20.800000
episode 94 = -32.500000
episode 95 = -75.700000
episode 96 = -32.500000
episode 97 = -26.200000
episode 98 = -37.000000
episode 99 = -42.400000
episode 100 = -91.000000
episode 101 = -16.300000
episode 102 = -87.400000
episode 103 = -14.500000
episode 104 = -24.400000
episode 105 = -23.500000
episode 106 = -28.000000
episode 107 = -33.400000
episode 108 = -25.300000
episode 109 = -21.700000
episode 110 = -57.700000
episode 111 = -75.700000
episode 112 = -18.100000
episode 113 = -41.500000
episode 114 = -20.800000
episode 115 = -43.300000
episode 116 = -74.800000
episode 117 = -34.300000
episode 118 = -80.200000
episode 119 = -95.500000
episode 120 = -90.100000
episode 121 = -73.000000
episode 122 = -14.500000
episode 123 = -61.300000
episode 124 = -19.900000
episode 125 = -91.900000
episode 126 = -15.400000
episode 127 = -17.200000
episode 128 = -75.700000
episode 129 = -18.100000
episode 130 = -55.000000
episode 131 = -54.100000
episode 132 = -19.900000
episode 133 = -91.000000
episode 134 = -60.400000
episode 135 = -63.100000
episode 136 = -17.200000
episode 137 = -82.000000
episode 138 = -68.500000
episode 139 = -85.600000
episode 140 = -70.300000
episode 141 = -52.300000
episode 142 = -62.200000
episode 143 = -91.000000
episode 144 = -71.200000
episode 145 = -15.400000
episode 146 = -93.700000
episode 147 = -83.800000
episode 148 = -92.800000
episode 149 = -73.000000
episode 150 = -82.000000
episode 151 = -73.000000
episode 152 = -64.000000
episode 153 = -56.800000
episode 154 = -54.100000
episode 155 = -79.300000
episode 156 = -81.100000
episode 157 = -19.000000
episode 158 = -12.700000
episode 159 = -79.300000
episode 160 = -92.800000
episode 161 = -92.800000
episode 162 = -73.000000
episode 163 = -63.100000
episode 164 = -40.600000
episode 165 = -83.800000
episode 166 = -72.100000
episode 167 = -15.400000
episode 168 = -33.400000
episode 169 = -94.600000
episode 170 = -81.100000
episode 171 = -96.400000
episode 172 = -73.000000
episode 173 = -73.000000
episode 174 = -45.100000
episode 175 = -46.000000
episode 176 = -85.600000
episode 177 = -91.900000
episode 178 = -46.000000
episode 179 = -27.100000
episode 180 = -51.400000
episode 181 = -78.400000
episode 182 = -94.600000
episode 183 = -62.200000
episode 184 = -84.700000
episode 185 = -12.700000
episode 186 = -18.100000
episode 187 = -82.000000
episode 188 = -13.600000
episode 189 = -80.200000
episode 190 = -45.100000
episode 191 = -91.900000
episode 192 = -86.500000
episode 193 = -34.300000
episode 194 = -82.000000
episode 195 = -97.300000
episode 196 = -79.300000
episode 197 = -60.400000
episode 198 = -64.000000
episode 199 = -21.700000
episode 200 = -78.400000
episode 201 = -42.400000
episode 202 = -93.700000
episode 203 = -84.700000
episode 204 = -37.000000
episode 205 = -80.200000
episode 206 = -89.200000
episode 207 = -12.700000
episode 208 = -62.200000
episode 209 = -64.900000
episode 210 = -77.500000
episode 211 = -81.100000
episode 212 = -92.800000
episode 213 = -91.000000
episode 214 = -82.900000
episode 215 = -89.200000
episode 216 = -89.200000
episode 217 = -75.700000
episode 218 = -90.100000
episode 219 = -76.600000
episode 220 = -82.900000
episode 221 = -71.200000
episode 222 = -93.700000
episode 223 = -16.300000
episode 224 = -64.000000
episode 225 = -20.800000
episode 226 = -86.500000
episode 227 = -84.700000
episode 228 = -21.700000
episode 229 = -29.800000
episode 230 = -14.500000
episode 231 = -17.200000
episode 232 = -26.200000
episode 233 = -12.700000
episode 234 = -23.500000
episode 235 = -12.700000
episode 236 = -69.400000
episode 237 = -18.100000
episode 238 = -19.000000
episode 239 = -91.000000
episode 240 = -18.100000
episode 241 = -18.100000
episode 242 = -16.300000
episode 243 = -16.300000
episode 244 = -72.100000
episode 245 = -20.800000
episode 246 = -29.800000
episode 247 = -28.900000
episode 248 = -47.800000
episode 249 = -20.800000
episode 250 = -97.300000
episode 251 = -22.600000
episode 252 = -27.100000
episode 253 = -25.300000
episode 254 = -31.600000
episode 255 = -35.200000
episode 256 = -30.700000
episode 257 = -93.700000
episode 258 = -16.300000
episode 259 = -91.000000
episode 260 = -24.400000
episode 261 = -91.900000
episode 262 = -66.700000
episode 263 = -18.100000
episode 264 = -65.800000
episode 265 = -17.200000
episode 266 = -62.200000
episode 267 = -67.600000
episode 268 = -18.100000
episode 269 = -32.500000
episode 270 = -79.300000
episode 271 = -18.100000
episode 272 = -27.100000
episode 273 = -28.900000
episode 274 = -25.300000
episode 275 = -41.500000
episode 276 = -19.900000
episode 277 = -33.400000
episode 278 = -35.200000
episode 279 = -28.000000
episode 280 = -25.300000
episode 281 = -51.400000
